author_id,username,followers,tweet_id,label,lable_followers,score,object_type,created,active_type,score_current_time
1340793957614145537,MBXXVV,15942,1895822316531220650,0xvisitor,19901,-60,user,1740834237000,comment,-60.0
1636717234054656000,MEonBTC,99280,1790807889482854402,wallstreetbets,901121,60,user,1715796847000,comment,60.0
1585960998321770497,MarcellxMarcell,107586,1882512981612974437,PeterSchiff,1133139,60,user,1737661044000,comment,60.0
823666116220354565,MasterChiefNFTs,32250,1878573981562765641,thecircle_eth,24758,50,user,1736721914000,comment,50.0
1460254014491086854,MeltedMindz,24151,1901724258277187987,notthreadguy,317849,-30,user,1742241370000,comment,-30.0
1412542198650785792,MintysMooners,3982,1877500627032412220,phantom,862161,-80,user,1736466006000,comment,-80.0
1256302433048891392,MoarkyMoark,9203,1905794545389826104,Pons_ETH,61499,30,user,1743211802000,comment,30.0
1256302433048891392,MoarkyMoark,9203,1900632737624555859,pumpdotfun,415380,50,user,1741981131000,comment,50.0
1226309266715234305,MonetSupply,29515,1321657934711910400,Lsquaredleland,2026,0,user,1603942781000,comment,0.0
1226309266715234305,MonetSupply,29515,1880981340113551618,jon_charb,22834,-30,user,1737295873000,comment,-30.0
844304603336232960,MustStopMurad,711199,1819092029198020736,Toshi_base,107331,90,user,1722540311000,comment,90.0
844304603336232960,MustStopMurad,711199,1896987502596251693,theunipcs,103215,-50,user,1741112039000,comment,-50.0
1323263916693225472,NMTD8,11487,1904903653699289294,hedgedhog7,83177,0,user,1742999397000,comment,0.0
1323263916693225472,NMTD8,11487,1904903653699289294,zachxbt,841036,20,user,1742999397000,comment,20.0
1044836083530452992,Optimism,732557,1759978225025847607,0xAarc,3879,90,user,1708446482000,comment,90.0
1771787806605787136,OrwellOnSol,6025,1853682473361899885,elonmusk,218555971,0,user,1730787316000,comment,0.0
1771787806605787136,OrwellOnSol,6025,1856736948301512949,elonmusk,218555971,0,user,1731515559000,comment,0.0
1341269720444653568,PointNetwork,28846,1555189476875436032,Austin_Federa,145667,0,user,1659621039000,comment,0.0
1341269720444653568,PointNetwork,28846,1555191261505667076,Austin_Federa,145667,70,user,1659621465000,comment,35.0
1341269720444653568,PointNetwork,28846,1555192046691958785,Austin_Federa,145667,0,user,1659621652000,comment,23.333333333333332
4881140173,Pollo2x,56299,1592569057676431360,SBF_FTX,984910,-50,user,1668533026000,comment,-50.0
950486928784228352,Punk9277,45284,1862660224177537445,0xsudogm,16038,0,user,1732927778000,comment,0.0
2409661538,Rager,201240,1737653280736714777,3orovik,228372,80,user,1703123800000,comment,80.0
2409661538,Rager,201240,1737653280736714777,farokh,441032,80,user,1703123800000,comment,80.0
2409661538,Rager,201240,1737653280736714777,haseeb,53909,0,user,1703123800000,comment,0.0
962427286506045440,RealJonahBlake,84905,1902830270044074455,0xINFRA,4508,0,user,1742505063000,comment,0.0
962427286506045440,RealJonahBlake,84905,1902830270044074455,LucaNetz,184797,0,user,1742505063000,comment,0.0
1658454401776795648,Rugcheckxyz,41564,1891392625313268046,Austin_Federa,145667,60,user,1739778116000,comment,60.0
1658454401776795648,Rugcheckxyz,41564,1891392625313268046,phantom,862161,70,user,1739778116000,comment,70.0
1110877798820777986,SBF_FTX,984910,1601191234034274304,cz_binance,9992682,-30,user,1670588713000,comment,-30.0
1424905944857722887,SOLBigBrain,286886,1491507931292086275,phantom,862161,60,user,1644438176000,comment,60.0
1424905944857722887,SOLBigBrain,286886,1491507931292086275,wallet,2084199,50,user,1644438176000,comment,50.0
1436880221354045450,STACCoverflow,38915,1852459737667019262,redacted_noah,16786,30,user,1730495793000,comment,30.0
1436880221354045450,STACCoverflow,38915,1852459737667019262,solana,3335964,50,user,1730495793000,comment,50.0
1837349638317428740,SaBiBro666,15659,1877907160610509074,Leoninweb3,83447,60,user,1736562931000,comment,60.0
1437633986457649156,Scamart_0v0,8634,1905046340473679903,ripcache,18917,0,user,1743033416000,comment,0.0
342366051,ShanAggarwal,8228,1897112097881764258,jdorman81,43174,-50,user,1741141745000,comment,-50.0
720935310721421317,SolPlay_jonas,5968,1899249730783257082,Kyzer,6054,-30,user,1741651396000,comment,-30.0
720935310721421317,SolPlay_jonas,5968,1899249730783257082,solana,3335964,80,user,1741651396000,comment,80.0
1290424042906935297,Solana_CK,12177,1532378444658614272,MagicEden,785971,80,user,1654182466000,comment,80.0
952921795316912133,StaniKulechov,263220,1888998784526368941,aeyakovenko,561205,-20,user,1739207380000,comment,-20.0
1385956210902454272,SteveKBark,53333,1561091501521788928,BoredApeYC,1043836,70,user,1661028192000,comment,70.0
1385956210902454272,SteveKBark,53333,1561091501521788928,CapetainTrippy,126955,60,user,1661028192000,comment,60.0
1385956210902454272,SteveKBark,53333,1561091501521788928,cryptopunksnfts,342685,30,user,1661028192000,comment,30.0
1385956210902454272,SteveKBark,53333,1561091501521788928,yugalabs,443917,50,user,1661028192000,comment,50.0
831653377268342784,Stupifff,9542,1893820288824942777,luigidemeo,64027,70,user,1740356916000,comment,70.0
887748030304329728,TheCryptoDog,862828,1885149436793458793,LomahCrypto,318403,-20,user,1738289624000,comment,-20.0
887748030304329728,TheCryptoDog,862828,1892377389940035669,cburniske,324161,40,user,1740012903000,comment,40.0
1294727489437044737,TheDazzleNovak,8832,1885138938886869309,0xChefGoose,11238,80,user,1738287121000,comment,80.0
1294727489437044737,TheDazzleNovak,8832,1885138938886869309,Chilearmy123,35463,0,user,1738287121000,comment,0.0
1849992101091737601,TheTickerIs_ETH,1941,1861478468690591979,CryptoCurb,51871,60,user,1732646026000,comment,60.0
1849992101091737601,TheTickerIs_ETH,1941,1862175551529648578,CryptoCurb,51871,50,user,1732812223000,comment,55.0
1849992101091737601,TheTickerIs_ETH,1941,1863254853067174217,CryptoCurb,51871,60,user,1733069549000,comment,56.666666666666664
1849992101091737601,TheTickerIs_ETH,1941,1865478077817540965,CryptoCurb,51871,60,user,1733599607000,comment,57.5
1849992101091737601,TheTickerIs_ETH,1941,1865478077817540965,Pentosh1,861324,50,user,1733599607000,comment,50.0
1849992101091737601,TheTickerIs_ETH,1941,1862175551529648578,blknoiz06,706493,40,user,1732812223000,comment,40.0
1463930881643466764,The_PeopleDAO,37407,1893572694630961660,cz_binance,9992682,70,user,1740297885000,comment,70.0
2271238675,ThisIsM1NH,12087,1865293580904075814,elonmusk,218555971,30,user,1733555619000,comment,30.0
1654506617348534274,TomFastlane,1358,1751329300911911006,const_reborn,15353,50,user,1706384418000,comment,50.0
